# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 269:         5.520       52.458      -3.70  LELYSTAD
# 270:         5.752       53.224       1.20  LEEUWARDEN
# 280:         6.585       53.125       5.20  EELDE
# 283:         6.657       52.069      29.10  HUPSEL
# 290:         6.891       52.274      34.80  TWENTHE
# 312:         3.622       51.768       0.00  OOSTERSCHELDE
# 319:         3.861       51.226       1.70  WESTDORPE
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 370:         5.377       51.451      22.60  EINDHOVEN
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,20170510,  159
  260,20170511,  228
  260,20170512,  212
  260,20170513,  190
  260,20170514,  199
  260,20170515,  212
  260,20170516,  262
  260,20170517,  284
  260,20170518,  211
  260,20170519,  167
  260,20170520,  173
  260,20170521,  202
  260,20170522,  246
  260,20170523,  210
  260,20170524,  223
  260,20170525,  230
  260,20170526,  266
  260,20170527,  319
  260,20170528,  266
  260,20170529,  286
  260,20170530,  212
  260,20170531,  222
  260,20170601,  234
  260,20170602,  266
  260,20170603,  237
  260,20170604,  195
  260,20170605,  229
  260,20170606,  174
  260,20170607,  174
  260,20170608,  232
  260,20170609,  196
  260,20170610,  239
  260,20170611,  271
  260,20170612,  178
  260,20170613,  208
  260,20170614,  244
  260,20170615,  264
  260,20170616,  180
  260,20170617,  232
  260,20170618,  278
  260,20170619,  309
  260,20170620,  274
  260,20170621,  291
  260,20170622,  308
  260,20170623,  232
  260,20170624,  179
  260,20170625,  190
  260,20170626,  206
  260,20170627,  218
  260,20170628,  219
  260,20170629,  217
  260,20170630,  208
  260,20170701,  210
  260,20170702,  196
  260,20170703,  220
  260,20170704,  232
  260,20170705,  248
  260,20170706,  265
  260,20170707,  260
  260,20170708,  245
  260,20170709,  232
  260,20170710,  259
  260,20170711,  207
  260,20170712,  182
  260,20170713,  205
  260,20170714,  186
  260,20170715,  215
  260,20170716,  221
  260,20170717,  231
  260,20170718,  252
  260,20170719,  294
  260,20170720,  242
  260,20170721,  227
  260,20170722,  242
  260,20170723,  191
  260,20170724,  202
  260,20170725,  200
  260,20170726,  236
  260,20170727,  214
  260,20170728,  210
  260,20170729,  205
  260,20170730,  229
  260,20170731,  228
  260,20170801,  227
  260,20170802,  220
  260,20170803,  225
  260,20170804,  218
  260,20170805,  204
  260,20170806,  217
  260,20170807,  231
  260,20170808,  196
  260,20170809,  213
  260,20170810,  205
  260,20170811,  203
  260,20170812,  216
  260,20170813,  215
  260,20170814,  241
  260,20170815,  218
  260,20170816,  233
  260,20170817,  199
  260,20170818,  201
  260,20170819,  196
  260,20170820,  198
  260,20170821,  208
  260,20170822,  235
  260,20170823,  250
  260,20170824,  222
  260,20170825,  234
  260,20170826,  250
  260,20170827,  247
  260,20170828,  268
  260,20170829,  290
  260,20170830,  225
  260,20170831,  197
  260,20170901,  193
  260,20170902,  194
  260,20170903,  200
  260,20170904,  216
  260,20170905,  217
  260,20170906,  183
  260,20170907,  185
  260,20170908,  158
  260,20170909,  177
  260,20170910,  177
  260,20170911,  177
  260,20170912,  183
  260,20170913,  176
  260,20170914,  144
  260,20170915,  164
  260,20170916,  129
  260,20170917,  172
  260,20170918,  162
  260,20170919,  174
  260,20170920,  175
  260,20170921,  186
  260,20170922,  192
  260,20170923,  183
  260,20170924,  204
  260,20170925,  181
  260,20170926,  172
  260,20170927,  202
  260,20170928,  206
  260,20170929,  227
  260,20170930,  157
  260,20171001,  174
  260,20171002,  179
  260,20171003,  164
  260,20171004,  152
  260,20171005,  160
  260,20171006,  150
  260,20171007,  143
  260,20171008,  147
  260,20171009,  134
  260,20171010,  158
  260,20171011,  161
  260,20171012,  161
  260,20171013,  182
  260,20171014,  199
  260,20171015,  221
  260,20171016,  244
  260,20171017,  166
  260,20171018,  186
  260,20171019,  204
  260,20171020,  167
  260,20171021,  175
  260,20171022,  132
  260,20171023,  152
  260,20171024,  171
  260,20171025,  171
  260,20171026,  175
  260,20171027,  144
  260,20171028,  153
  260,20171030,  121
  260,20171031,  112
  260,20171101,  135
  260,20171102,  140
  260,20171103,  124
  260,20171104,  131
  260,20171105,  109
  260,20171106,  109
  260,20171107,   98
  260,20171108,   76
  260,20171109,  111
  260,20171110,  118
  260,20171111,   94
  260,20171112,   64
  260,20171113,  103
  260,20171114,   99
  260,20171115,  102
  260,20171116,  107
  260,20171117,  110
  260,20171118,   96
  260,20171119,   99
  260,20171120,  118
  260,20171121,  124
  260,20171122,  133
  260,20171123,  144
  260,20171124,   92
  260,20171125,   74
  260,20171126,   80
  260,20171127,   91
  260,20171128,   78
  260,20171129,   40
  260,20171130,   46
  260,20171201,   31
  269,20161201,   93
  269,20161202,   86
  269,20161203,   76
  269,20161204,   21
  269,20161205,   28
  269,20161206,   43
  269,20161207,   87
  269,20161208,   95
  269,20161209,  105
  269,20161210,   95
  269,20161211,   95
  269,20161212,   76
  269,20161213,   74
  269,20161214,   89
  269,20161215,   82
  269,20161216,   75
  269,20161217,   75
  269,20161218,   86
  269,20161219,   74
  269,20161220,   11
  269,20161221,   68
  269,20161222,   74
  269,20161223,   79
  269,20161224,   95
  269,20161225,  117
  269,20161226,  113
  269,20161227,   89
  269,20161228,   31
  269,20161229,   -3
  269,20161230,   13
  269,20161231,   37
  269,20170101,   27
  269,20170102,   60
  269,20170103,   71
  269,20170104,   74
  269,20170105,   42
  269,20170106,   -9
  269,20170107,   36
  269,20170108,   58
  269,20170109,   60
  269,20170110,   68
  269,20170111,   94
  269,20170112,   72
  269,20170113,   57
  269,20170114,   49
  269,20170115,   43
  269,20170116,    2
  269,20170117,  -17
  269,20170118,  -18
  269,20170119,   20
  269,20170120,   23
  269,20170121,   43
  269,20170122,   26
  269,20170123,   28
  269,20170124,   15
  269,20170125,   13
  269,20170126,    8
  269,20170127,   47
  269,20170128,   73
  269,20170129,   61
  269,20170130,   68
  269,20170131,   41
  269,20170201,   54
  269,20170202,  123
  269,20170203,  113
  269,20170204,   76
  269,20170205,   68
  269,20170206,   55
  269,20170207,   29
  269,20170208,   -3
  269,20170209,  -14
  269,20170210,  -17
  269,20170211,    4
  269,20170212,   15
  269,20170213,   45
  269,20170214,   83
  269,20170215,  140
  269,20170216,   99
  269,20170217,   74
  269,20170218,   97
  269,20170219,   88
  269,20170220,  106
  269,20170221,  101
  269,20170222,  105
  269,20170223,  108
  269,20170224,   76
  269,20170225,   82
  269,20170226,  103
  269,20170227,  107
  269,20170228,   68
  269,20170301,   93
  269,20170302,   76
  269,20170303,   91
  269,20170304,  139
  269,20170305,  109
  269,20170306,   95
  269,20170307,   79
  269,20170308,   94
  269,20170309,  117
  269,20170310,  112
  269,20170311,  125
  269,20170312,  142
  269,20170313,  112
  269,20170314,  145
  269,20170315,  120
  269,20170316,  164
  269,20170317,   98
  269,20170318,  107
  269,20170319,  126
  269,20170320,  110
  269,20170321,   92
  269,20170322,  125
  269,20170323,  130
  269,20170324,  133
  269,20170325,  137
  269,20170326,  114
  269,20170327,  178
  269,20170328,  188
  269,20170329,  139
  269,20170330,  211
  269,20170331,  223
  269,20170401,  133
  269,20170402,  155
  269,20170403,  136
  269,20170404,  162
  269,20170405,  122
  269,20170406,  111
  269,20170407,  145
  269,20170408,  147
  269,20170409,  210
  269,20170410,  143
  269,20170411,  140
  269,20170412,  113
  269,20170413,  126
  269,20170414,  132
  269,20170415,  116
  269,20170416,  112
  269,20170417,  103
  269,20170418,  106
  269,20170419,   90
  269,20170420,  122
  269,20170421,  151
  269,20170422,  103
  269,20170423,  106
  269,20170424,  130
