# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 380:         5.762       50.906     114.30  MAASTRICHT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHX      = Hoogste uurgemiddelde windsnelheid (in 0.1 m/s); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# T10N     = Minimum temperatuur op 10 cm hoogte (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,  FHX,   TX, T10N
# 
  380,20010204,   90,  104,   41
  380,20010205,  120,  107,   72
  380,20010206,  100,  128,   91
  380,20010207,   80,  114,   79
  380,20010208,  120,  128,   63
  380,20010209,   70,   65,  -29
  380,20010210,   80,   73,  -53
  380,20010211,   90,  113,   55
  380,20010212,   80,  140,   80
  380,20010213,  100,   80,   13
  380,20010214,   50,   70,   -8
  380,20010215,   40,  120,  -28
  380,20010216,   60,   76,  -15
  380,20010217,   60,   57,   18
  380,20010218,   40,   38,  -18
  380,20010219,   50,   55,   -4
  380,20010220,   50,   81,   19
  380,20010221,   70,   72,   16
  380,20010222,   70,   70,   24
  380,20010223,   50,   53,   -1
  380,20010224,   60,   11,  -76
  380,20010225,   70,   35,  -81
  380,20010226,   60,   39,  -23
  380,20010227,   60,   48,  -33
  380,20010228,   50,   71,   -6
  380,20010301,   60,   56,   -2
  380,20010302,   50,   60,   -6
  380,20010303,   70,    4,   -6
  380,20010304,   40,   35,   -3
  380,20010305,   50,   47,  -23
  380,20010306,   50,  103,  -42
  380,20010307,   60,  154,   22
  380,20010308,   80,  125,   63
  380,20010309,   90,  117,   79
  380,20010310,   80,  130,   81
  380,20010311,  100,  139,   93
  380,20010312,  110,  140,   10
  380,20010313,  110,   91,   27
  380,20010314,   80,   95,   28
  380,20010315,   20,  102,   47
  380,20010316,   60,  127,   67
  380,20010317,   50,   88,   29
  380,20010318,   90,   99,   31
  380,20010319,   90,   53,  -37
  380,20010320,   80,   43,  -50
  380,20010321,   90,  102,    5
  380,20010322,   60,   96,   48
  380,20010323,  130,  143,   60
  380,20010324,   60,  118,   47
  380,20010325,   70,   47,   19
  380,20010326,   40,   37,   -3
  380,20010327,   60,   72,   22
  380,20010328,   90,  143,   29
  380,20010329,   90,  102,   -1
  380,20010330,   50,  109,    4
  380,20010331,   80,  144,   22
  380,20010401,   50,  182,   60
  380,20010402,   60,  222,   33
  380,20010403,   90,  161,   80
  380,20010404,  110,  126,   39
  380,20010405,  100,  115,   38
  380,20010406,  100,  139,   78
  380,20010407,   80,  129,   55
  380,20010408,   60,  115,   27
  380,20010409,   50,  106,   35
  380,20010410,   70,  108,   64
  380,20010411,   60,  108,   40
  380,20010412,   70,   87,   -8
  380,20010413,   70,   77,  -24
  380,20010414,   80,   54,  -54
  380,20010415,   70,  104,   20
  380,20010416,   60,  100,   37
  380,20010417,   60,   80,   41
  380,20010418,   90,   83,   -3
  380,20010419,   70,   72,    6
  380,20010420,   50,   84,  -10
  380,20010421,   60,  106,  -21
  380,20010422,   30,  125,  -25
  380,20010423,   30,  135,    6
  380,20010424,   80,  157,    1
  380,20010425,   80,  149,   67
  380,20010426,   90,  146,   63
  380,20010427,   60,  115,   58
  380,20010428,  100,  151,   69
  380,20010429,   60,  167,   77
  380,20010430,   50,  198,   67
  380,20010501,   60,  171,   83
  380,20010502,   60,  222,   79
  380,20010503,   70,  212,  102
  380,20010504,   70,  110,   77
  380,20010505,   90,  123,   50
  380,20010506,   60,  135,   24
  380,20010507,   80,  165,   81
  380,20010508,   50,  164,   69
  380,20010509,   70,  236,   75
  380,20010510,   70,  246,  104
  380,20010511,   50,  252,   62
  380,20010512,   60,  240,   81
  380,20010513,   50,  260,   52
  380,20010514,   60,  212,  102
  380,20010515,   60,  203,   66
  380,20010516,  110,  184,  108
  380,20010517,  100,  171,   73
  380,20010518,   80,  129,   70
  380,20010519,   40,  173,   30
  380,20010520,   50,  180,   10
  380,20010521,   60,  187,   78
  380,20010522,   60,  197,   64
  380,20010523,   60,  230,   72
  380,20010524,   60,  249,   77
  380,20010525,   50,  234,   89
  380,20010526,   40,  256,   64
  380,20010527,   70,  208,  139
  380,20010528,   70,  251,  143
  380,20010529,   60,  235,   86
  380,20010530,   30,  233,   81
  380,20010531,   80,  187,   95
  380,20010601,   60,  176,   87
  380,20010602,   80,  137,   71
  380,20010603,   90,  130,   62
  380,20010604,   70,  158,   61
  380,20010605,   60,  221,   53
  380,20010606,   80,  209,  104
  380,20010607,   90,  162,  102
  380,20010608,   40,  165,   50
  380,20010609,   30,  178,   20
  380,20010610,   50,  182,   82
  380,20010611,   60,  175,   61
  380,20010612,   50,  186,   66
  380,20010613,   40,  203,   62
  380,20010614,   30,  225,  116
  380,20010615,   90,  230,  116
  380,20010616,   70,  217,  106
  380,20010617,   60,  183,  125
  380,20010618,   60,  153,   89
  380,20010619,   30,  184,   72
  380,20010620,   50,  228,   66
  380,20010621,   70,  206,   87
  380,20010622,   60,  189,   81
  380,20010623,   30,  212,   56
  380,20010624,   20,  260,   85
  380,20010625,   40,  269,  140
  380,20010626,   40,  312,  131
  380,20010627,   70,  253,  155
  380,20010628,   70,  235,  154
  380,20010629,   60,  248,  156
  380,20010630,   70,  238,  139
  380,20010701,   50,  238,  131
  380,20010702,   30,  211,  118
  380,20010703,   70,  267,  124
  380,20010704,   70,  287,  136
  380,20010705,   60,  316,  164
  380,20010706,   50,  297,  186
  380,20010707,   90,  239,  165
  380,20010708,   80,  174,  153
  380,20010709,   70,  220,  120
  380,20010710,   90,  254,  120
  380,20010711,  120,  199,  131
  380,20010712,   80,  201,  115
  380,20010713,   80,  199,  113
  380,20010714,   70,  174,  125
  380,20010715,   60,  211,  101
  380,20010716,   30,  201,  118
  380,20010717,   50,  236,  103
  380,20010718,   80,  211,  139
  380,20010719,   80,  190,  134
  380,20010720,   70,  175,   83
  380,20010721,   90,  207,   84
  380,20010722,   40,  261,  148
  380,20010723,   60,  242,  160
  380,20010724,   30,  261,  137
  380,20010725,   40,  272,  155
  380,20010726,   40,  293,  150
  380,20010727,   50,  301,  153
  380,20010728,   60,  274,  157
  380,20010729,   40,  269,  153
  380,20010730,   60,  295,  161
  380,20010731,   70,  270,  150
  380,20010801,   40,  238,  116
  380,20010802,   60,  296,  131
  380,20010803,   70,  234,  160
  380,20010804,   70,  210,  139
  380,20010805,   90,  217,  130
  380,20010806,   80,  217,  150
  380,20010807,   80,  204,  158
  380,20010808,  110,  202,  132
  380,20010809,   70,  224,  120
  380,20010810,   50,  189,  104
  380,20010811,   60,  214,   89
  380,20010812,   90,  240,  124
  380,20010813,   80,  244,  152
  380,20010814,   30,  306,  134
  380,20010815,   50,  329,  160
  380,20010816,   70,  243,  111
  380,20010817,   30,  246,   97
  380,20010818,   40,  278,  152
  380,20010819,   80,  242,  153
  380,20010820,   40,  213,  137
  380,20010821,   30,  268,  133
  380,20010822,   30,  284,  141
  380,20010823,   20,  288,  151
  380,20010824,   30,  301,  166
  380,20010825,   20,  332,  156
  380,20010826,   50,  342,  158
  380,20010827,   60,  218,  123
  380,20010828,   30,  205,   76
  380,20010829,   60,  231,   81
  380,20010830,   40,  184,   87
  380,20010831,   50,  204,  115
  380,20010901,   40,  190,   78
  380,20010902,   70,  175,   77
  380,20010903,   80,  174,  134
  380,20010904,   60,  164,  116
  380,20010905,   60,  178,  102
  380,20010906,   60,  175,  111
  380,20010907,   90,  170,  118
  380,20010908,   90,  161,   78
  380,20010909,   80,  130,   82
  380,20010910,   80,  157,   96
  380,20010911,   80,  160,   87
  380,20010912,   80,  180,  124
  380,20010913,   90,  164,  107
